"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"S3RRHTEX","journalArticle","1990","Schauble, Leona","Belief Revision in Children: The Role of Prior Knowledge and Strategies for Generating Evidence","Journal of Experimental Child Psychology","","","","","Evolving beliefs and reasoning strategies were observed in 22 fifth- and sixthgrade children who worked over 8 weeks for a total of about 5 h on a causal reasoning problem. Children planned, performed, and interpreted experiments to learn about the relations between design features and speed of race cars in a computerized microworld. The group made progress, but by the end of the sessions did not fully understand those features that disconfirmed their initial beliefs. In their activity with the microworld. children often failed to make informative comparisons or valid judgments about the outcomes. Exploratory strategies improved as children exercised them over time, but invalid heuristics that preserved children’s favored theories about cars were evident throughout.  Those children using more valid strategies achieved more complete, stable comprehension of the microworld’s structure. In turn, children used their beliefs to make meaning of the complex patterns of evidence they observed. The most successful children evaluated both the evidence and their changing theories, and were sensitive to the fact that they should be mutually constraining.","1990","2020-06-12 05:02:56","2020-06-12 05:08:14","","31-57","","","49","","","","","","","","","","","","","","","","","","<p>Argument: In this study, Schauble examines the process through which children generate and interpret evidence, and the role of prior belief in developing conclusions.  A group of 5th and 6th graders were given a task in which they had to determine the fastest car, given a set of 5 variables that could affect (or not affect) the speed of the car.  In some cases, the relationship between the variable and speed confirmed students beliefs, and in other cases, beliefs were disconfirmed.  Students' strategies were coded into 4 components: planning, comparison, judgement, and justification.</p> <p>In the planning phase, children often did not use systematic strategies, although most were able to make high level plans, which were systematic and involved comparison of features.  In the comparison phase, children often used information from both current and prior experiments, and their experiments were often not designed to allow them to make comparisons across one feature.  In the judgement phase, valid comparisons and invalid comparisons tended to lead to valid judgements and invalid judgements, respectively.  Lastly, in the justification phase, evidence based judgements often were tied to observed correlations, and invalid judgements had justifications related to experiments. </p> <p>Altogether, it was evident that the integration of knowledge with evidence was often unconscious, children tended to stick to weak strategies until they saw how those actively worked against them, and children often tried to make evidence fit with invalid theories, even when the evidence contradicted said theories.</p> <p>Context: Schauble addresses a growing body of research that suggests that reasoning depends on domain specific knowledge, as opposed to just cognitive ability.  They use this study to examine the relationship between prior knowledge and reasoning abilities. </p> <p>My Intervention: This study provides insight into the degree to which elementary schoolers are able to abstract information from observation.  While they are capable of doing so, they are not cognitive of this.  As a result, they are not able to use the most effective strategies.  This shows that observing the process rather than just the outcome of problem solving leads to a better understanding of students' abilities and gaps in understanding.  It also suggests that metacognitive tasks are the main gap that differentiates elementary schoolers from adults in their problem-solving process.</p>","C:\Users\Niki\Desktop\Zotero Files\Belief Revision in Children.pdf; C:\Users\Niki\Desktop\Zotero Files\Belief Revision in Children pg 2.jpg; C:\Users\Niki\Desktop\Zotero Files\Belief Revision in Children pg 1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QTI7IMTS","journalArticle","1995","Metz, Kathleen E.","Reassessment of Developmental Constraints on Children's Science Instruction","Review of Educational Research","","","","","Science curricula at the elementary school level frequently emphasize the ""concrete,"" with a focus on the processes of observation, ordering, and categorization of the directly perceivable. Within this approach, abstract ideas and the planning of investigations and analysis of their results are in large part postponed until higher grades. This practice stems from purported developmental constraints on children's thinking. This article analyzes these constraints in light of the writings of Piaget, to whom they are frequently attributed, and contemporary developmental theory and research. Neither the Piagetian nor the non-Piagetian research supports the validity of these developmental assumptions. The article also identifies several intrinsic problematic aspects of this approach to children's science, including the failure to appreciate the challenge of adequate scientific description, the liabilities of decontextualization, and the epistemological messages it conveys to children. Both Piagetian and non-Piagetian literatures support the feasibility  of children's science curricula in which the processes previously approached as ends become tools in contextualized and authentic scientific inquiry.","1995","2020-06-10 04:50:45","2020-06-10 04:53:20","","93-127","","2","65","","","","","","","","","","","","","","","","","","<p>Argument: Metz argues that differentiation between concrete and formal operational thinkers in science education is both misinformed and limiting.  Firstly, the idea that formal operational thinkers are incapable of abstract thought is false.  It may appear that they are because they lack domain-specific knowledge that adults tend to have and they struggle with reflective, metacognitive thought.  However, they are able to abstract theories from observation, as studies in Paigetian and post-Piagetian psychology show.  Secondly, even though concrete operational thinkers are able to use serialization and classification, Metz argues that these are tools they use to develop theories, and are not used isolation.  Finally, students' abstract thinking appears most clearly in goal-oriented tasks, which is something they often do not experience in science classrooms, as lessons are decontextualized from the observable world and from adult scientific communities.</p> <p>Context: Metz is critical of the structure of American science curricula in the 1990s, which misconstrue conclusions drawn from studies in developmental psychology, and use these conclusions as a way of decontextualizing and limiting children's access to rigorous and interesting scientific study in elementary school.</p> <p>My Intervention: Children think in a goal-oriented manner, and greatly benefit from communities of learners in developing and testing theories.  As such, effective curricula need to be tied to the world in order to best engage students and ensure that the information they take from school is easily transferrable across contexts.  These ideas are supported by literature in developmental psychology, which suggests that children learn and think through observation and roughly scientific thought patterns.  One of the main reasons adults fail to see this is children lack metacognitive abilities, and are often unable to explain the reasoning behind their processes.</p>","C:\Users\Niki\Desktop\Zotero Files\Reassessment of Developmental Constraints Pg 2.jpg; C:\Users\Niki\Desktop\Zotero Files\Reassessment of Developmental Constraints Pg 1.jpg; C:\Users\Niki\Desktop\Zotero Files\Reassessment of Developmental Constraints Pg 3.jpg; C:\Users\Niki\Desktop\Zotero Files\Reassessment of Developmental Constraints on Children's Science Instruction.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G8TSSVCH","journalArticle","1997","Kuhn, Deanna","Constraints or Guideposts? Developmental Psychology and Science Education","Review of Educational Research","","","","","Metz (1995) criticizes ""developmentally based"" science curricula as inappropriately constraining science instruction to activities that bear little resemblance to authentic scientific inquiry, which she recommends as a more productive modelfor science education. Here, I reflect on Metz' recommendations, consider whether research and theory in developmental psychology stand to inform science educators' pursuit of directions of the sort Metz advocates, and propose a ""guideposts"" rather than ""constraints"" model of how developmental psychology might inform science edu","1997","2020-06-08 22:11:26","2020-06-08 23:38:33","","144-150","","1","67","","","","","","","","","","","","","","","","","","<p>Argument:  In this article, Kuhn draws on post-Piagetian developmental psychology and American educational theory to argue that science curricula can be made to more accurately reflect a process of inquiry and reflection if instructors are aware of developmental milestones as guideposts.  For example, studies in developmental psychology, specifically in microgenetics, have shown that children tend to use variable thought strategies for similar problems, instead of developing more effective strategies and using these more consistently.  Other studies have shown that children have a hard time differentiating between belief and theory, and are not able to use evidence to inform new theories.  As such, when teachers are aware of their students' competencies on a deeper level, they will be more able to construct curricula that adapt the scientific method to those competencies.</p> <p>Context: Kuhn wrote this article in response to one written by Metz called 'Reassessment of Developmental Constraints on Children's Science Instruction'.  In this article, Metz argues that students should learn science through inquiry and reflection, and teachers can promote this by focusing away from developmental milestones.  Kuhn agrees that scientific thought is inquiry based, given that inquiry is related to children's natural curiosity and that inquiry leads to development of metacognitive and metastrategic thought.  However, she disagrees with Metz in that developmental milestones give educators useful 'guideposts' to determine how to utilize and challenge students' existing thought patterns. </p> <p>My Intervention: This article explains why developmental psychology is instrumental in development of non-traditional curricula.  It explains how and why students become engaged and disengaged and how they apply cognitive strategies taught in school.  For example, it is clear that students do not think of strategies taught in school metacognitively.  This is because they tend to use strategies inconsistently, even though human cognition demands that more effective strategies consistently replace less effective ones.  One possible reason that students are not making these meta-level reflections is that they don't tend to see what is taught in science as relevant to their lives or to problems they encounter or will encounter</p>","C:\Users\Niki\Desktop\Zotero Files\Constraints or Guideposts pg 2.jpg; C:\Users\Niki\Desktop\Zotero Files\Constraints or Guideposts pg 1.jpg; C:\Users\Niki\Desktop\Zotero Files\Constraints or Guideposts_ Developmental Psychology and Science Education.pdf","","developmental-psychology; perspectives-on-pedagogy","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L5SVXWJE","journalArticle","2000","DeVries, Rheta","Vygotsky, Piaget, and education: a reciprocal assimilation of theories and educational practices","New Ideas in Psychology","","","","","Seeking a rapprochement between Vygotskians and Piagetians, the theories of Piaget and Vygotsky are compared, and educational extensions by their followers are examined. A paradox in Vygotsky's theory is highlighted, where evidence is found both for claiming that Vygotsky was a behaviorist and that he was a constructivist. Similarities in the two theories are presented: social factors as having a central role in child development, the transformative nature of internalization, and the individual as what develops. Differences in the theories pertain to the nature of the stimulus, nature and origin of psychological instruments, nature of self-regulation and novelty in development, direction of development, the concept of social development, and the role of language in development. Because practical applications of theories often clarify the theories, some educational extensions of Vygotsky's theory are critiqued from a Piagetian constructivist perspective, and, in contrast, constructivist educational interpretations of Vygotsky's work are noted. Aspects of Piaget's theory emphasized by educators are presented, and educational practices inspired by this theory are outlined. A rapprochement is sought, with consideration of convergences in educational practices of followers of Piaget and Vygotsky, sources of difficulty for rapprochement, and changes necessary in educational theories of followers of both Piaget and Vygotsky.","2000","2020-07-25 17:45:11","2020-10-13 18:28:30","","187-213","","","18","","","","","","","","","","","","","","","","","","<p>Argument:  This text outlines Vygotsky's and Piaget's theories with respect to behaviourism and constructivism.  The theorists' ideas have several similiarities: they both believe social factors play a role in child development and that internalization is not a process of copying material.  However, they vary in their ideas regarding the nature of stimulus,self-regulation, etc.  Educational implementations of each theory are described, particularly with respect to Vygotsky's zone of proximal development and Piaget's definitions of heteronomous vs autonomous morality.  Ultimately, Piaget's theories are more salient in American education, in part because Vygotsky's have been (mis)interpreted as similar to the banking method of education.</p> <p>Context: This text is meant to integrate the discourses of Piagetian and Vygotskyian developmental psychology.</p> <p>My Intervention: It seems as though analyzing MSFJ and FOK with respect to Vygotsky's theories may not be useful, given the perception in education that his ideas were similar to the banking model of education.  However, his idea that knowledge is socially constructed (which is shared by Piaget) is particularly interesting for both approaches to mathematics education, because it is the foundation for both.</p>","C:\Users\Niki\Desktop\Zotero Files\Vygotsky_Piaget_and education pg 5.jpg; C:\Users\Niki\Desktop\Zotero Files\Vygotsky_Piaget_and education pg 4.jpg; C:\Users\Niki\Desktop\Zotero Files\Vygotsky_Piaget_and education pg 3.jpg; C:\Users\Niki\Desktop\Zotero Files\Vygotsky_Piaget_and education pg 2.jpg; C:\Users\Niki\Desktop\Zotero Files\Vygotsky_Piaget_and education pg 1.jpg; C:\Users\Niki\Desktop\Zotero Files\Vygotsky_ Piaget_ and education_ a reciprocal assimilation of theories and educational practices.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5UHEFZEJ","journalArticle","","Kuo, Eric; Wallace, Tanner L.","Publishing Qualitative Research in the Journal of Educational Psychology: Synthesizing Research Practices Across Methodological Silos","","","","","","","","2020-09-11 18:06:58","2020-09-11 18:08:02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LXNP5X3K","journalArticle","1942","Pressey, S.L.","Report of the Committee on Contributions of Psychology to Problems of Preparation for Teaching","Journal of Consulting Psychology","","","","","The following report was approvedin substantially its present formby the Educational Section of the American Association for Applied Psychologyat its 1940 meeting, then mailed to allmembers of the Section with a request for comments, revised in the light of thecomments thus received (which were almost entirely of detail) and approved for publication at the 1941 meeting of the Section. It is accordingly believed of some significance as indicative of the trend of thinking of educational psychologists regarding programs of teacher education.","1942","2020-09-10 18:12:35","2020-09-10 18:16:51","","165-167","","3","6","","","","","","","","","","","","","","","","","","<p>Argument: Teacher education must include child psychology classes and student observations in a way that is much more substantial than the way they are included now.</p> <p>Context:  This report indicates that in the 1940s, psychological professionals were critical of the way in which psychology had been incorporated into teacher training programs.</p> <p>My Intervention:  Pressey's insight that teacher training programs have historically not been student centered is extremely valuable, and seems to remain true today.  Incorporation of considerations of students have been made, but they have been mostly patchwork attempts.</p>","C:\Users\Niki\Desktop\Zotero Files\Report of the Committee on Contributions of Psychology to Problems of Preparation for Teaching.pdf; C:\Users\Niki\Desktop\Zotero Files\Report of the Committee on Contributions of Psychology Pg 2.jpg; C:\Users\Niki\Desktop\Zotero Files\Report of the Committee on Contributions of Psychology Pg 1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CAUNFL63","journalArticle","2008","McDevitt, Teresa M.; Ormrod, Jeanne E.","Fostering Conceptual Change About Child Development in Prospective Teachers and Other College Students","Child Development Perspectives","","","","","Research findings about children and their developmental pathways have innumerable implications for teachers, other practitioners, and parents, who often learn about child development as part of college instruction. It appears, however, that courses in child development do not always have optimal effects on college students’ understandings of children. This article identifies several factors that may impede effective learning in child development courses. Then, drawing from research in numerous content domains and with diverse student populations, it offers several hypotheses for facilitating conceptual change in college students’ understandings of child development and for promoting positive transfer of those understandings to actual practices with children.","2008","2020-09-10 14:43:13","2020-09-10 14:45:15","","85-91","","2","2","","","","","","","","","","","","","","","","","","<p>Argument:  This text has three goals: 1) analyze the biases that prospective teachers have before and after their college classes, 2) identify barriers to learning in college, and 3) set up a research agenda for evaluating instructional strategies designed to foster meaningful conceptual change about child development.</p> <p>Some of the biases prospective teachers have are that intelligence is inherited, children learn best through direct teaching, and behaviour problems are a result of bad parenting.  Additionally, they tend to have the distortions of epistemic egocentrism, confirmation bias, ethnocentric bias, and anti-research bias.  These make it different for students to challenge their prior beliefs.  Professors feed into this by treating learning as an additive process: instead of encouraging students to reflect, they simply add new information to students' knowledge banks through rote teaching methods.  They also tend to avoid research because of inaccessible statistical analysis or dry writing style.</p> <p>There are 5 hypotheses outlined in this article for practices professors could adopt as effective instructional strategies.  These hypotheses emphasize reflection and conceptual change.</p> <p>Context:  While there is a significant body of research about child development that can be used to improve teaching practices, it is often not used effectively by pre-service teachers, who instead have a tendency to model instructional practices they observed growing up.</p> <p>My Intervention:  This article makes a strong case for the fact that theory and practice have not been well integrated in the field of developmental psychology.</p>","C:\Users\Niki\Desktop\Zotero Files\Fostering Conceptual Change About Child Development Pg 3.jpg; C:\Users\Niki\Desktop\Zotero Files\Fostering Conceptual Change about Child Development.pdf; C:\Users\Niki\Desktop\Zotero Files\Fostering Conceptual Change About Child Development Pg 1.jpg; C:\Users\Niki\Desktop\Zotero Files\Fostering Conceptual Change About Child Development Pg 2.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5GXITHL3","journalArticle","1909","O'Shea, M.V.","Progress in child and educational psychology","Psychological Bulletin","","","","","Productivity in these fields seems to be increasing at the presentmoment more rapidly in Germany than anywhere else. This is shown partly in the establishment of magazines devoted to the exploi-tation of new conceptions of child development in either its theoretical or its practical aspects, and partly in the printing of numerous monographs treating of some phase of child or educational psychology.  With us there is a steady augmentation in the output of literaturerelating to the development and training of children, and the principles of education viewed from the psychological standpoint. Thesuggestion is frequently heard among us now that we are in need of at least two new magazines which should be devoted exclusively to child and educational psychology, and the application of the new views to the detailed processes of teaching.","1909","2020-09-09 15:04:33","2020-09-09 15:06:11","","73-77","","3","6","","","","","","","","","","","","","","","","","","<p>Argument:  O'Shea argues that the connections between education and psychology are weak.  They either focus on superficial patterns, such as patterns of behaviour, or they do not take time to consider the implications for classroom teachers.  O'Shea suggests that this issue can be remedied through a greater emphasis on empirical study and the scientific method in educational psychology, as well as the development of academic journals on the subject.</p> <p>Context: O'Shea writes in the early 1900s, in which psychology is a growing (but still limited) discipline, and researchers are beginning to treat education as a natural science.</p> <p>My Intervention:  This author argues that most of the (limited) study that has been conducted in the field of educational psychology is of little value because it has not been performed using the scientific method.  This begs the question: what methods are used to conduct the studies that O'Shea describes?  Are they attempts at the scientific method with small n values and overgeneralized conclusions, or are they ethnographic studies?</p>","C:\Users\Niki\Desktop\Zotero Files\Progress in child and educational psychology.pdf; C:\Users\Niki\Desktop\Zotero Files\Progress in child and educational psychology.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FDWWG7KK","journalArticle","1985","d'Ambrosio, Ubiratan","Ethnomathematics and Its Place in the History and Pedagogy of Mathematics","For the Learning of Mathematics","","","","","In this paper we will discuss some basic issues which may lay the ground for an historical approach to the teaching of mathematics in a novel way. Our project relies primarily on developing the concept of ethnomathematics.","1985","2020-08-31 01:04:59","2020-09-04 00:25:49","","44-48","","1","5","","","","","","","","","","","","","","","","","","<p>Argument:  This text makes the central argument that ethnomathematics is a very small field in the world of research because of the way mathematics has developed in relation to societies and because scientific research excludes practices that cannot be generalized (i.e., practices which apply to specialized situations), which is often the case with ethnomathematics. </p> <p>Context:  Ethnomathematics is a field that would fall into the category of critical math literacy.  It does not fall into the domain of that which is taught in mainstream mathematics classrooms, and it is critical in the sense that it is math that originates from a given identity group.  As such, it is like a 'language of the oppressed', and teaching it allows students to 'read and write the world through mathematics', starting from identification with a cultural group.</p> <p>My Intervention:  Like Frankenstein's work, this text outlines ethnomathematics as an approach to math instruction which decolonizes math instruction as it exists now.  However, given that ethnomathematics is inherently different from academic mathematics, it follows that it cannot be taught through the same curricular materials.  Curricular materials developed to teach ethnomathematics will grow out of an anthropology/sociology of mathematics.</p>","C:\Users\Niki\Desktop\Zotero Files\Ethnomathematics and Its Place in the History and Pedagogy of Mathematics Pg 1.jpg; C:\Users\Niki\Desktop\Zotero Files\Ethnomathematics and Its Place in the History and Pedagogy of Mathematics.pdf; C:\Users\Niki\Desktop\Zotero Files\Ethnomathematics and Its Place in the History and Pedagogy of Mathematics Pg 2.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CE6CJG7T","journalArticle","2020","Faulkenberry, Eileen; Gonzalez-Carriedo, Ricardo; Middlemiss, Wendy; Tunks, Jeanne; Williams, Julie J.","Supporting Mathematics Understanding Through Funds of Knowledge","Urban Education","","","","","The purpose of this qualitative study was to identify the unique funds of knowledge among three Hispanic families living in the same city, specifically, how parents supported their children’s mathematics learning through funds of knowledge. Participants contributed to their children’s mathematics learning by promoting the five National Council of Teachers of Mathematics process standards—problem solving, reasoning and proof, communication, connection, and representation. Participating parents shared knowledge with their children through questioning and discussion, providing experiences, and promoting practice. In this study, participants valued education and supported their children’s mathematics learning at home and school activities.","2020","2020-08-31 18:44:29","2020-09-01 15:37:58","","476-502","","3","55","","","","","","","","","","","","","","","","","","<p>Argument: According to the funds of knowledge approach to math instruction, there are a variety of aspects of home life which contain mathematical influence: family history, educational history, labor history, family networks, resources in home, knowledge transmission, and values and goals.  According to the three families in this study, there are large differences between parents' and students' experiences learning math.  This leads parents to have difficulty helping students with homework, which they mitigate through use of resources like books and the internet.  Additionally, parents with backgrounds in mathematics show children ways in which math can be used in everyday activities, from cooking to shopping.  In doing so, parents modeled all 5 of NCTM (2000) content standards.</p> <p>Context: This text follows from Amanti et al.'s study regarding the funds of knowledge approach to math instruction.</p> <p>My Intervention:  While there is a clear attempt to understand the ways in which home math literacy can be incorporated into the school, it seems as though the result is generally the reverse.  The results generally show ways in which the family attempts to accomodate mathematical literacy as it is taught in school.</p>","C:\Users\Niki\Desktop\Zotero Files\Supporting Mathematics Understanding Through Funds of Knowledge.pdf; C:\Users\Niki\Desktop\Zotero Files\Supporting Mathematics Understanding Through Funds of Knowledge Pg 2.jpg; C:\Users\Niki\Desktop\Zotero Files\Supporting Mathematics Understanding Through Funds of Knowledge Pg 1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
